Crime Type,Victim Count,State/Territory,Year
Other,356,Maryland,2018
Overpayment,"1,033",Maryland,2018
Personal Data Breach,391,Maryland,2018
Phishing/Vishing/Smishing/Pharming,33,Maryland,2018
Ransomware,22,Maryland,2018
Re-shipping,234,Maryland,2018
Real Estate/Rental,225,Maryland,2018
Spoofing,331,Maryland,2018
Tech Support,1,Maryland,2018
Social Media,772,Maryland,2018
Virtual Currency,919,Maryland,2018
Advanced Fee,267,Massachusetts,2018
BEC/EAC,595,Massachusetts,2018
Charity,14,Massachusetts,2018
Civil Matter,9,Massachusetts,2018
Confidence Fraud/Romance,346,Massachusetts,2018
Corporate Data Breach,58,Massachusetts,2018
Credit Card Fraud,226,Massachusetts,2018
Crimes Against Children,22,Massachusetts,2018
Criminal Forums,10,Massachusetts,2018
Denial of Service/TDos,201,Massachusetts,2018
Employment,"1,155",Massachusetts,2018
Extortion,5,Massachusetts,2018
Gambling,203,Massachusetts,2018
Government Impersonation,1,Massachusetts,2018
Hacktivist,314,Massachusetts,2018
Harassment/Threats of Violence,7,Massachusetts,2018
Health Care Related,38,Massachusetts,2018
IPR/Copyright and Counterfeit,259,Massachusetts,2018
Identity Theft,39,Massachusetts,2018
Investment,105,Massachusetts,2018
Lottery/Sweepstakes/Inheritance,35,Massachusetts,2018
Malware/Scareware/Virus,83,Massachusetts,2018
Misrepresentation,185,Massachusetts,2018
No Lead Value,"1,238",Massachusetts,2018
Non-payment/Non-Delivery,142,Massachusetts,2018
Other,295,Massachusetts,2018
Overpayment,"1,070",Massachusetts,2018
Personal Data Breach,449,Massachusetts,2018
Phishing/Vishing/Smishing/Pharming,28,Massachusetts,2018
Ransomware,9,Massachusetts,2018
Re-shipping,310,Massachusetts,2018
Real Estate/Rental,242,Massachusetts,2018
Spoofing,284,Massachusetts,2018
Tech Support,2,Massachusetts,2018
Social Media,779,Massachusetts,2018
Virtual Currency,852,Massachusetts,2018
Advanced Fee,361,Michigan,2018
BEC/EAC,451,Michigan,2018
Charity,13,Michigan,2018
Civil Matter,17,Michigan,2018
Confidence Fraud/Romance,461,Michigan,2018
Corporate Data Breach,61,Michigan,2018
Credit Card Fraud,359,Michigan,2018
Crimes Against Children,33,Michigan,2018
Criminal Forums,22,Michigan,2018
Denial of Service/TDos,323,Michigan,2018
Employment,"1,122",Michigan,2018
Extortion,1,Michigan,2018
Gambling,220,Michigan,2018
Government Impersonation,1,Michigan,2018
Hacktivist,360,Michigan,2018
Harassment/Threats of Violence,4,Michigan,2018
Health Care Related,51,Michigan,2018
IPR/Copyright and Counterfeit,394,Michigan,2018
Identity Theft,53,Michigan,2018
Investment,140,Michigan,2018
Lottery/Sweepstakes/Inheritance,80,Michigan,2018
Malware/Scareware/Virus,126,Michigan,2018
Misrepresentation,695,Michigan,2018
No Lead Value,"1,415",Michigan,2018
Non-payment/Non-Delivery,143,Michigan,2018
Other,391,Michigan,2018
Overpayment,"1,132",Michigan,2018
Personal Data Breach,400,Michigan,2018
Phishing/Vishing/Smishing/Pharming,30,Michigan,2018
Ransomware,24,Michigan,2018
Re-shipping,219,Michigan,2018
Real Estate/Rental,288,Michigan,2018
Spoofing,390,Michigan,2018
Tech Support,1,Michigan,2018
Social Media,890,Michigan,2018
Virtual Currency,720,Michigan,2018
Advanced Fee,208,Minnesota,2018
BEC/EAC,312,Minnesota,2018
Charity,25,Minnesota,2018
Civil Matter,9,Minnesota,2018
Confidence Fraud/Romance,287,Minnesota,2018
Corporate Data Breach,26,Minnesota,2018
Credit Card Fraud,170,Minnesota,2018
Crimes Against Children,18,Minnesota,2018
Criminal Forums,12,Minnesota,2018
Denial of Service/TDos,171,Minnesota,2018
Employment,847,Minnesota,2018
Extortion,1,Minnesota,2018
Gambling,188,Minnesota,2018
Government Impersonation,0,Minnesota,2018
Hacktivist,206,Minnesota,2018
Harassment/Threats of Violence,4,Minnesota,2018
Health Care Related,28,Minnesota,2018
IPR/Copyright and Counterfeit,178,Minnesota,2018
Identity Theft,22,Minnesota,2018
Investment,92,Minnesota,2018
Lottery/Sweepstakes/Inheritance,42,Minnesota,2018
Malware/Scareware/Virus,72,Minnesota,2018
Misrepresentation,189,Minnesota,2018
No Lead Value,792,Minnesota,2018
Non-payment/Non-Delivery,108,Minnesota,2018
Other,242,Minnesota,2018
Overpayment,628,Minnesota,2018
Personal Data Breach,225,Minnesota,2018
Phishing/Vishing/Smishing/Pharming,36,Minnesota,2018
Ransomware,8,Minnesota,2018
Re-shipping,144,Minnesota,2018
Real Estate/Rental,184,Minnesota,2018
Spoofing,211,Minnesota,2018
Tech Support,2,Minnesota,2018
Social Media,602,Minnesota,2018
Virtual Currency,528,Minnesota,2018
Advanced Fee,139,Mississippi,2018
BEC/EAC,57,Mississippi,2018
Charity,0,Mississippi,2018
Civil Matter,1,Mississippi,2018
Confidence Fraud/Romance,108,Mississippi,2018
Corporate Data Breach,5,Mississippi,2018
Credit Card Fraud,76,Mississippi,2018
Crimes Against Children,5,Mississippi,2018
Criminal Forums,4,Mississippi,2018
Denial of Service/TDos,89,Mississippi,2018
Employment,173,Mississippi,2018
Extortion,3,Mississippi,2018
Gambling,61,Mississippi,2018
Government Impersonation,0,Mississippi,2018
Hacktivist,92,Mississippi,2018
Harassment/Threats of Violence,1,Mississippi,2018
Health Care Related,7,Mississippi,2018
IPR/Copyright and Counterfeit,74,Mississippi,2018
Identity Theft,23,Mississippi,2018
Investment,55,Mississippi,2018
Lottery/Sweepstakes/Inheritance,12,Mississippi,2018
Malware/Scareware/Virus,16,Mississippi,2018
Misrepresentation,316,Mississippi,2018
No Lead Value,435,Mississippi,2018
Non-payment/Non-Delivery,41,Mississippi,2018
Other,94,Mississippi,2018
Overpayment,213,Mississippi,2018
Personal Data Breach,88,Mississippi,2018
Phishing/Vishing/Smishing/Pharming,3,Mississippi,2018
Ransomware,9,Mississippi,2018
Re-shipping,29,Mississippi,2018
Real Estate/Rental,80,Mississippi,2018
Spoofing,78,Mississippi,2018
Tech Support,0,Mississippi,2018
Social Media,197,Mississippi,2018
Virtual Currency,97,Mississippi,2018
Advanced Fee,596,Missouri,2018
BEC/EAC,229,Missouri,2018
Charity,7,Missouri,2018
Civil Matter,10,Missouri,2018
Confidence Fraud/Romance,319,Missouri,2018
Corporate Data Breach,26,Missouri,2018
Credit Card Fraud,263,Missouri,2018
Crimes Against Children,22,Missouri,2018
Criminal Forums,7,Missouri,2018
Denial of Service/TDos,205,Missouri,2018
Employment,720,Missouri,2018
Extortion,2,Missouri,2018
Gambling,278,Missouri,2018
Government Impersonation,0,Missouri,2018
Hacktivist,352,Missouri,2018
Harassment/Threats of Violence,3,Missouri,2018
Health Care Related,30,Missouri,2018
IPR/Copyright and Counterfeit,266,Missouri,2018
Identity Theft,20,Missouri,2018
Investment,478,Missouri,2018
Lottery/Sweepstakes/Inheritance,43,Missouri,2018
Malware/Scareware/Virus,85,Missouri,2018
Misrepresentation,152,Missouri,2018
No Lead Value,970,Missouri,2018
Non-payment/Non-Delivery,201,Missouri,2018
Other,265,Missouri,2018
Overpayment,688,Missouri,2018
Personal Data Breach,793,Missouri,2018
Phishing/Vishing/Smishing/Pharming,24,Missouri,2018
Ransomware,17,Missouri,2018
Re-shipping,118,Missouri,2018
Real Estate/Rental,325,Missouri,2018
Spoofing,252,Missouri,2018
Tech Support,3,Missouri,2018
Social Media,558,Missouri,2018
Virtual Currency,438,Missouri,2018
Advanced Fee,44,Montana,2018
BEC/EAC,38,Montana,2018
Charity,1,Montana,2018
Civil Matter,2,Montana,2018
Confidence Fraud/Romance,42,Montana,2018
Corporate Data Breach,9,Montana,2018
Credit Card Fraud,27,Montana,2018
Crimes Against Children,6,Montana,2018
Criminal Forums,1,Montana,2018
Denial of Service/TDos,26,Montana,2018
Employment,180,Montana,2018
Extortion,0,Montana,2018
Gambling,26,Montana,2018
Government Impersonation,1,Montana,2018
Hacktivist,38,Montana,2018
Harassment/Threats of Violence,3,Montana,2018
Health Care Related,2,Montana,2018
IPR/Copyright and Counterfeit,48,Montana,2018
Identity Theft,4,Montana,2018
Investment,26,Montana,2018
Lottery/Sweepstakes/Inheritance,11,Montana,2018
Malware/Scareware/Virus,10,Montana,2018
Misrepresentation,8,Montana,2018
No Lead Value,150,Montana,2018
Non-payment/Non-Delivery,21,Montana,2018
Other,53,Montana,2018
Overpayment,128,Montana,2018
Personal Data Breach,53,Montana,2018
Phishing/Vishing/Smishing/Pharming,0,Montana,2018
Ransomware,1,Montana,2018
Re-shipping,35,Montana,2018
Real Estate/Rental,36,Montana,2018
Spoofing,49,Montana,2018
Tech Support,1,Montana,2018
Social Media,122,Montana,2018
Virtual Currency,121,Montana,2018
Advanced Fee,59,Nebraska,2018
BEC/EAC,83,Nebraska,2018
Charity,2,Nebraska,2018
Civil Matter,4,Nebraska,2018
Confidence Fraud/Romance,92,Nebraska,2018
Corporate Data Breach,16,Nebraska,2018
Credit Card Fraud,49,Nebraska,2018
Crimes Against Children,5,Nebraska,2018
Criminal Forums,2,Nebraska,2018
Denial of Service/TDos,37,Nebraska,2018
Employment,215,Nebraska,2018
Extortion,2,Nebraska,2018
Gambling,56,Nebraska,2018
Government Impersonation,0,Nebraska,2018
Hacktivist,64,Nebraska,2018
Harassment/Threats of Violence,0,Nebraska,2018
Health Care Related,10,Nebraska,2018
IPR/Copyright and Counterfeit,53,Nebraska,2018
Identity Theft,12,Nebraska,2018
Investment,28,Nebraska,2018
Lottery/Sweepstakes/Inheritance,7,Nebraska,2018
Malware/Scareware/Virus,12,Nebraska,2018
Misrepresentation,43,Nebraska,2018
No Lead Value,243,Nebraska,2018
Non-payment/Non-Delivery,24,Nebraska,2018
Other,55,Nebraska,2018
Overpayment,194,Nebraska,2018
Personal Data Breach,70,Nebraska,2018
Phishing/Vishing/Smishing/Pharming,5,Nebraska,2018
Ransomware,6,Nebraska,2018
Re-shipping,23,Nebraska,2018
Real Estate/Rental,58,Nebraska,2018
Spoofing,64,Nebraska,2018
Tech Support,0,Nebraska,2018
Social Media,144,Nebraska,2018
Virtual Currency,146,Nebraska,2018
Advanced Fee,237,Nevada,2018
BEC/EAC,217,Nevada,2018
Charity,4,Nevada,2018
Civil Matter,18,Nevada,2018
Confidence Fraud/Romance,254,Nevada,2018
Corporate Data Breach,36,Nevada,2018
Credit Card Fraud,367,Nevada,2018
Crimes Against Children,21,Nevada,2018
Criminal Forums,15,Nevada,2018
Denial of Service/TDos,401,Nevada,2018
Employment,712,Nevada,2018
Extortion,6,Nevada,2018
Gambling,152,Nevada,2018
Government Impersonation,1,Nevada,2018
Hacktivist,461,Nevada,2018
Harassment/Threats of Violence,11,Nevada,2018
Health Care Related,32,Nevada,2018
IPR/Copyright and Counterfeit,399,Nevada,2018
Identity Theft,48,Nevada,2018
Investment,89,Nevada,2018
Lottery/Sweepstakes/Inheritance,40,Nevada,2018
Malware/Scareware/Virus,69,Nevada,2018
Misrepresentation,295,Nevada,2018
No Lead Value,852,Nevada,2018
Non-payment/Non-Delivery,171,Nevada,2018
Other,317,Nevada,2018
Overpayment,832,Nevada,2018
Personal Data Breach,331,Nevada,2018
Phishing/Vishing/Smishing/Pharming,15,Nevada,2018
Ransomware,43,Nevada,2018
Re-shipping,166,Nevada,2018
Real Estate/Rental,154,Nevada,2018
Spoofing,203,Nevada,2018
Tech Support,0,Nevada,2018
Social Media,693,Nevada,2018
Virtual Currency,359,Nevada,2018
Advanced Fee,61,New Hampshire,2018
BEC/EAC,86,New Hampshire,2018
Charity,0,New Hampshire,2018
Civil Matter,2,New Hampshire,2018
Confidence Fraud/Romance,68,New Hampshire,2018
Corporate Data Breach,5,New Hampshire,2018
Credit Card Fraud,58,New Hampshire,2018
Crimes Against Children,3,New Hampshire,2018
Criminal Forums,4,New Hampshire,2018
Denial of Service/TDos,43,New Hampshire,2018
Employment,202,New Hampshire,2018
Extortion,0,New Hampshire,2018
Gambling,35,New Hampshire,2018
Government Impersonation,1,New Hampshire,2018
Hacktivist,41,New Hampshire,2018
Harassment/Threats of Violence,2,New Hampshire,2018
Health Care Related,8,New Hampshire,2018
IPR/Copyright and Counterfeit,71,New Hampshire,2018
Identity Theft,5,New Hampshire,2018
Investment,20,New Hampshire,2018
Lottery/Sweepstakes/Inheritance,16,New Hampshire,2018
Malware/Scareware/Virus,17,New Hampshire,2018
Misrepresentation,9,New Hampshire,2018
No Lead Value,207,New Hampshire,2018
Non-payment/Non-Delivery,20,New Hampshire,2018
Other,68,New Hampshire,2018
Overpayment,145,New Hampshire,2018
Personal Data Breach,81,New Hampshire,2018
Phishing/Vishing/Smishing/Pharming,2,New Hampshire,2018
Ransomware,1,New Hampshire,2018
Re-shipping,67,New Hampshire,2018
Real Estate/Rental,42,New Hampshire,2018
Spoofing,57,New Hampshire,2018
Tech Support,0,New Hampshire,2018
Social Media,138,New Hampshire,2018
Virtual Currency,144,New Hampshire,2018
Advanced Fee,374,New Jersey,2018
BEC/EAC,554,New Jersey,2018
Charity,15,New Jersey,2018
Civil Matter,11,New Jersey,2018
Confidence Fraud/Romance,332,New Jersey,2018
Corporate Data Breach,55,New Jersey,2018
Credit Card Fraud,404,New Jersey,2018
Crimes Against Children,85,New Jersey,2018
Criminal Forums,10,New Jersey,2018
Denial of Service/TDos,342,New Jersey,2018
Employment,"1,358",New Jersey,2018
Extortion,4,New Jersey,2018
Gambling,247,New Jersey,2018
Government Impersonation,0,New Jersey,2018
Hacktivist,570,New Jersey,2018
Harassment/Threats of Violence,3,New Jersey,2018
Health Care Related,52,New Jersey,2018
IPR/Copyright and Counterfeit,462,New Jersey,2018
Identity Theft,59,New Jersey,2018
Investment,115,New Jersey,2018
Lottery/Sweepstakes/Inheritance,49,New Jersey,2018
Malware/Scareware/Virus,184,New Jersey,2018
Misrepresentation,843,New Jersey,2018
No Lead Value,"1,776",New Jersey,2018
Non-payment/Non-Delivery,179,New Jersey,2018
Other,358,New Jersey,2018
Overpayment,"1,276",New Jersey,2018
Personal Data Breach,655,New Jersey,2018
Phishing/Vishing/Smishing/Pharming,40,New Jersey,2018
Ransomware,19,New Jersey,2018
Re-shipping,300,New Jersey,2018
Real Estate/Rental,464,New Jersey,2018
Spoofing,378,New Jersey,2018
Tech Support,3,New Jersey,2018
Social Media,931,New Jersey,2018
Virtual Currency,990,New Jersey,2018
Advanced Fee,101,New Mexico,2018
BEC/EAC,101,New Mexico,2018
Charity,1,New Mexico,2018
Civil Matter,5,New Mexico,2018
Confidence Fraud/Romance,140,New Mexico,2018
Corporate Data Breach,11,New Mexico,2018
Credit Card Fraud,58,New Mexico,2018
Crimes Against Children,5,New Mexico,2018
Criminal Forums,4,New Mexico,2018
Denial of Service/TDos,92,New Mexico,2018
Employment,370,New Mexico,2018
Extortion,3,New Mexico,2018
Gambling,75,New Mexico,2018
Government Impersonation,0,New Mexico,2018
Hacktivist,211,New Mexico,2018
Harassment/Threats of Violence,3,New Mexico,2018
Health Care Related,15,New Mexico,2018
IPR/Copyright and Counterfeit,66,New Mexico,2018
Identity Theft,12,New Mexico,2018
Investment,58,New Mexico,2018
Lottery/Sweepstakes/Inheritance,27,New Mexico,2018
Malware/Scareware/Virus,20,New Mexico,2018
Misrepresentation,170,New Mexico,2018
No Lead Value,379,New Mexico,2018
Non-payment/Non-Delivery,49,New Mexico,2018
Other,116,New Mexico,2018
Overpayment,339,New Mexico,2018
Personal Data Breach,154,New Mexico,2018
Phishing/Vishing/Smishing/Pharming,7,New Mexico,2018
Ransomware,8,New Mexico,2018
Re-shipping,70,New Mexico,2018
Real Estate/Rental,73,New Mexico,2018
Spoofing,116,New Mexico,2018
Tech Support,1,New Mexico,2018
Social Media,307,New Mexico,2018
Virtual Currency,247,New Mexico,2018
Advanced Fee,601,New York,2018
BEC/EAC,"1,288",New York,2018
Charity,31,New York,2018
Civil Matter,45,New York,2018
Confidence Fraud/Romance,782,New York,2018
Corporate Data Breach,156,New York,2018
Credit Card Fraud,697,New York,2018
Crimes Against Children,78,New York,2018
Criminal Forums,57,New York,2018
Denial of Service/TDos,733,New York,2018
Employment,"2,898",New York,2018
Extortion,7,New York,2018
Gambling,603,New York,2018
Government Impersonation,5,New York,2018
Hacktivist,966,New York,2018
Harassment/Threats of Violence,15,New York,2018
Health Care Related,133,New York,2018
IPR/Copyright and Counterfeit,766,New York,2018
Identity Theft,167,New York,2018
Investment,258,New York,2018
Lottery/Sweepstakes/Inheritance,166,New York,2018
Malware/Scareware/Virus,317,New York,2018
Misrepresentation,"1,208",New York,2018
No Lead Value,"4,046",New York,2018
Non-payment/Non-Delivery,442,New York,2018
Other,885,New York,2018
Overpayment,"3,114",New York,2018
Personal Data Breach,"1,186",New York,2018
Phishing/Vishing/Smishing/Pharming,107,New York,2018
Ransomware,42,New York,2018
Re-shipping,565,New York,2018
Real Estate/Rental,731,New York,2018
Spoofing,895,New York,2018
Tech Support,0,New York,2018
Social Media,"2,164",New York,2018
Virtual Currency,"2,280",New York,2018
Advanced Fee,436,North Carolina,2018
BEC/EAC,430,North Carolina,2018
Charity,11,North Carolina,2018
Civil Matter,15,North Carolina,2018
Confidence Fraud/Romance,432,North Carolina,2018
Corporate Data Breach,39,North Carolina,2018
Credit Card Fraud,306,North Carolina,2018
Crimes Against Children,28,North Carolina,2018
Criminal Forums,28,North Carolina,2018
Denial of Service/TDos,391,North Carolina,2018
Employment,"1,219",North Carolina,2018
Extortion,4,North Carolina,2018
Gambling,255,North Carolina,2018
Government Impersonation,2,North Carolina,2018
Hacktivist,330,North Carolina,2018
Harassment/Threats of Violence,9,North Carolina,2018
Health Care Related,30,North Carolina,2018
IPR/Copyright and Counterfeit,330,North Carolina,2018
Identity Theft,47,North Carolina,2018
Investment,213,North Carolina,2018
Lottery/Sweepstakes/Inheritance,49,North Carolina,2018
Malware/Scareware/Virus,148,North Carolina,2018
Misrepresentation,246,North Carolina,2018
No Lead Value,"1,647",North Carolina,2018
Non-payment/Non-Delivery,172,North Carolina,2018
Other,406,North Carolina,2018
Overpayment,"1,125",North Carolina,2018
Personal Data Breach,947,North Carolina,2018
Phishing/Vishing/Smishing/Pharming,29,North Carolina,2018
Ransomware,31,North Carolina,2018
Re-shipping,286,North Carolina,2018
Real Estate/Rental,430,North Carolina,2018
Spoofing,361,North Carolina,2018
Tech Support,2,North Carolina,2018
Social Media,902,North Carolina,2018
Virtual Currency,790,North Carolina,2018
Advanced Fee,23,North Dakota,2018
BEC/EAC,31,North Dakota,2018
Charity,1,North Dakota,2018
Civil Matter,0,North Dakota,2018
Confidence Fraud/Romance,35,North Dakota,2018
Corporate Data Breach,2,North Dakota,2018
Credit Card Fraud,19,North Dakota,2018
Crimes Against Children,3,North Dakota,2018
Criminal Forums,1,North Dakota,2018
Denial of Service/TDos,23,North Dakota,2018
Employment,60,North Dakota,2018
Extortion,0,North Dakota,2018
Gambling,18,North Dakota,2018
Government Impersonation,0,North Dakota,2018
Hacktivist,14,North Dakota,2018
Harassment/Threats of Violence,0,North Dakota,2018
Health Care Related,4,North Dakota,2018
IPR/Copyright and Counterfeit,32,North Dakota,2018
Identity Theft,2,North Dakota,2018
Investment,12,North Dakota,2018
Lottery/Sweepstakes/Inheritance,3,North Dakota,2018
Malware/Scareware/Virus,6,North Dakota,2018
Misrepresentation,5,North Dakota,2018
No Lead Value,123,North Dakota,2018
Non-payment/Non-Delivery,12,North Dakota,2018
Other,33,North Dakota,2018
Overpayment,59,North Dakota,2018
Personal Data Breach,20,North Dakota,2018
Phishing/Vishing/Smishing/Pharming,2,North Dakota,2018
Ransomware,1,North Dakota,2018
Re-shipping,9,North Dakota,2018
Real Estate/Rental,24,North Dakota,2018
Spoofing,20,North Dakota,2018
Tech Support,0,North Dakota,2018
Social Media,52,North Dakota,2018
Virtual Currency,36,North Dakota,2018
Advanced Fee,3,Northern Mariana Islands,2018
BEC/EAC,0,Northern Mariana Islands,2018
Charity,0,Northern Mariana Islands,2018
Civil Matter,0,Northern Mariana Islands,2018
Confidence Fraud/Romance,2,Northern Mariana Islands,2018
Corporate Data Breach,1,Northern Mariana Islands,2018
Credit Card Fraud,0,Northern Mariana Islands,2018
Crimes Against Children,0,Northern Mariana Islands,2018
Criminal Forums,0,Northern Mariana Islands,2018
Denial of Service/TDos,0,Northern Mariana Islands,2018
Employment,4,Northern Mariana Islands,2018
Extortion,0,Northern Mariana Islands,2018
Gambling,0,Northern Mariana Islands,2018
Government Impersonation,0,Northern Mariana Islands,2018
Hacktivist,1,Northern Mariana Islands,2018
Harassment/Threats of Violence,0,Northern Mariana Islands,2018
Health Care Related,0,Northern Mariana Islands,2018
IPR/Copyright and Counterfeit,0,Northern Mariana Islands,2018
Identity Theft,0,Northern Mariana Islands,2018
Investment,0,Northern Mariana Islands,2018
Lottery/Sweepstakes/Inheritance,0,Northern Mariana Islands,2018
Malware/Scareware/Virus,0,Northern Mariana Islands,2018
Misrepresentation,2,Northern Mariana Islands,2018
No Lead Value,4,Northern Mariana Islands,2018
Non-payment/Non-Delivery,0,Northern Mariana Islands,2018
Other,0,Northern Mariana Islands,2018
Overpayment,1,Northern Mariana Islands,2018
Personal Data Breach,0,Northern Mariana Islands,2018
Phishing/Vishing/Smishing/Pharming,0,Northern Mariana Islands,2018
Ransomware,0,Northern Mariana Islands,2018
Re-shipping,1,Northern Mariana Islands,2018
Real Estate/Rental,0,Northern Mariana Islands,2018
Spoofing,0,Northern Mariana Islands,2018
Tech Support,0,Northern Mariana Islands,2018
Social Media,3,Northern Mariana Islands,2018
Virtual Currency,0,Northern Mariana Islands,2018
Advanced Fee,371,Ohio,2018
BEC/EAC,539,Ohio,2018
Charity,13,Ohio,2018
Civil Matter,18,Ohio,2018
Confidence Fraud/Romance,424,Ohio,2018
Corporate Data Breach,55,Ohio,2018
Credit Card Fraud,287,Ohio,2018
Crimes Against Children,22,Ohio,2018
Criminal Forums,28,Ohio,2018
Denial of Service/TDos,317,Ohio,2018
Employment,"1,214",Ohio,2018
Extortion,14,Ohio,2018
Gambling,247,Ohio,2018
Government Impersonation,4,Ohio,2018
Hacktivist,447,Ohio,2018
Harassment/Threats of Violence,11,Ohio,2018
Health Care Related,35,Ohio,2018
IPR/Copyright and Counterfeit,312,Ohio,2018
Identity Theft,48,Ohio,2018
Investment,182,Ohio,2018
Lottery/Sweepstakes/Inheritance,67,Ohio,2018
Malware/Scareware/Virus,151,Ohio,2018
Misrepresentation,570,Ohio,2018
No Lead Value,"1,672",Ohio,2018
Non-payment/Non-Delivery,150,Ohio,2018
Other,374,Ohio,2018
Overpayment,"1,216",Ohio,2018
Personal Data Breach,416,Ohio,2018
Phishing/Vishing/Smishing/Pharming,41,Ohio,2018
Ransomware,22,Ohio,2018
Re-shipping,211,Ohio,2018
Real Estate/Rental,311,Ohio,2018
Spoofing,393,Ohio,2018
Tech Support,2,Ohio,2018
Social Media,995,Ohio,2018
Virtual Currency,802,Ohio,2018
Advanced Fee,159,Oklahoma,2018
BEC/EAC,147,Oklahoma,2018
Charity,4,Oklahoma,2018
Civil Matter,6,Oklahoma,2018
Confidence Fraud/Romance,164,Oklahoma,2018
Corporate Data Breach,12,Oklahoma,2018
Credit Card Fraud,104,Oklahoma,2018
Crimes Against Children,19,Oklahoma,2018
Criminal Forums,8,Oklahoma,2018
Denial of Service/TDos,133,Oklahoma,2018
Employment,413,Oklahoma,2018
Extortion,0,Oklahoma,2018
Gambling,119,Oklahoma,2018
Government Impersonation,0,Oklahoma,2018
Hacktivist,159,Oklahoma,2018
Harassment/Threats of Violence,1,Oklahoma,2018
Health Care Related,12,Oklahoma,2018
IPR/Copyright and Counterfeit,129,Oklahoma,2018
Identity Theft,21,Oklahoma,2018
Investment,88,Oklahoma,2018
Lottery/Sweepstakes/Inheritance,25,Oklahoma,2018
Malware/Scareware/Virus,36,Oklahoma,2018
Misrepresentation,156,Oklahoma,2018
No Lead Value,529,Oklahoma,2018
Non-payment/Non-Delivery,55,Oklahoma,2018
Other,162,Oklahoma,2018
Overpayment,359,Oklahoma,2018
Personal Data Breach,165,Oklahoma,2018
Phishing/Vishing/Smishing/Pharming,21,Oklahoma,2018
Ransomware,10,Oklahoma,2018
Re-shipping,53,Oklahoma,2018
Real Estate/Rental,93,Oklahoma,2018
Spoofing,117,Oklahoma,2018
Tech Support,2,Oklahoma,2018
Social Media,323,Oklahoma,2018
Virtual Currency,216,Oklahoma,2018
Advanced Fee,192,Oregon,2018
BEC/EAC,272,Oregon,2018
Charity,8,Oregon,2018
Civil Matter,12,Oregon,2018
Confidence Fraud/Romance,266,Oregon,2018
Corporate Data Breach,46,Oregon,2018
Credit Card Fraud,174,Oregon,2018
Crimes Against Children,19,Oregon,2018
Criminal Forums,7,Oregon,2018
Denial of Service/TDos,137,Oregon,2018
Employment,983,Oregon,2018
Extortion,1,Oregon,2018
Gambling,175,Oregon,2018
Government Impersonation,0,Oregon,2018
Hacktivist,231,Oregon,2018
Harassment/Threats of Violence,3,Oregon,2018
Health Care Related,28,Oregon,2018
IPR/Copyright and Counterfeit,200,Oregon,2018
Identity Theft,27,Oregon,2018
Investment,91,Oregon,2018
Lottery/Sweepstakes/Inheritance,51,Oregon,2018
Malware/Scareware/Virus,73,Oregon,2018
Misrepresentation,288,Oregon,2018
No Lead Value,711,Oregon,2018
Non-payment/Non-Delivery,108,Oregon,2018
Other,237,Oregon,2018
Overpayment,793,Oregon,2018
Personal Data Breach,271,Oregon,2018
Phishing/Vishing/Smishing/Pharming,25,Oregon,2018
Ransomware,9,Oregon,2018
Re-shipping,172,Oregon,2018
Real Estate/Rental,134,Oregon,2018
Spoofing,229,Oregon,2018
Tech Support,2,Oregon,2018
Social Media,646,Oregon,2018
Virtual Currency,710,Oregon,2018
Advanced Fee,437,Pennsylvania,2018
BEC/EAC,715,Pennsylvania,2018
Charity,13,Pennsylvania,2018
Civil Matter,19,Pennsylvania,2018
Confidence Fraud/Romance,577,Pennsylvania,2018
Corporate Data Breach,103,Pennsylvania,2018
Credit Card Fraud,437,Pennsylvania,2018
Crimes Against Children,50,Pennsylvania,2018
Criminal Forums,29,Pennsylvania,2018
Denial of Service/TDos,433,Pennsylvania,2018
Employment,"1,697",Pennsylvania,2018
Extortion,7,Pennsylvania,2018
Gambling,326,Pennsylvania,2018
Government Impersonation,1,Pennsylvania,2018
Hacktivist,555,Pennsylvania,2018
Harassment/Threats of Violence,9,Pennsylvania,2018
Health Care Related,70,Pennsylvania,2018
IPR/Copyright and Counterfeit,525,Pennsylvania,2018
Identity Theft,64,Pennsylvania,2018
Investment,180,Pennsylvania,2018
Lottery/Sweepstakes/Inheritance,87,Pennsylvania,2018
Malware/Scareware/Virus,137,Pennsylvania,2018
Misrepresentation,630,Pennsylvania,2018
No Lead Value,"2,091",Pennsylvania,2018
Non-payment/Non-Delivery,335,Pennsylvania,2018
Other,552,Pennsylvania,2018
Overpayment,"1,597",Pennsylvania,2018
Personal Data Breach,845,Pennsylvania,2018
Phishing/Vishing/Smishing/Pharming,55,Pennsylvania,2018
Ransomware,23,Pennsylvania,2018
Re-shipping,326,Pennsylvania,2018
Real Estate/Rental,498,Pennsylvania,2018
Spoofing,537,Pennsylvania,2018
Tech Support,4,Pennsylvania,2018
Social Media,"1,367",Pennsylvania,2018
Virtual Currency,"1,223",Pennsylvania,2018
Advanced Fee,37,Puerto Rico,2018
BEC/EAC,30,Puerto Rico,2018
Charity,1,Puerto Rico,2018
Civil Matter,0,Puerto Rico,2018
Confidence Fraud/Romance,49,Puerto Rico,2018
Corporate Data Breach,5,Puerto Rico,2018
Credit Card Fraud,33,Puerto Rico,2018
Crimes Against Children,10,Puerto Rico,2018
Criminal Forums,0,Puerto Rico,2018
Denial of Service/TDos,27,Puerto Rico,2018
Employment,85,Puerto Rico,2018
Extortion,0,Puerto Rico,2018
