Crime Type,Subject Count,State/Territory,Year
Hacktivist,0,Wisconsin,2017
Harassment/Threats of Violence,73,Wisconsin,2017
Health Care Related,1,Wisconsin,2017
IPR/Copyright and Counterfeit,13,Wisconsin,2017
Identity Theft,44,Wisconsin,2017
Investment,7,Wisconsin,2017
Lottery/Sweepstakes/Inheritance,5,Wisconsin,2017
Malware/Scareware/Virus,6,Wisconsin,2017
Misrepresentation,11,Wisconsin,2017
No Lead Value,29,Wisconsin,2017
Non-payment/Non-Delivery,235,Wisconsin,2017
Other,28,Wisconsin,2017
Overpayment,69,Wisconsin,2017
Personal Data Breach,84,Wisconsin,2017
Phishing/Vishing/Smishing/Pharming,25,Wisconsin,2017
Ransomware,3,Wisconsin,2017
Re-shipping,3,Wisconsin,2017
Real Estate/Rental,18,Wisconsin,2017
Spoofing,0,Wisconsin,2017
Tech Support,9,Wisconsin,2017
Terrorism,0,Wisconsin,2017
Social Media,68,Wisconsin,2017
Virtual Currency,4,Wisconsin,2017
Advanced Fee,18,Wyoming,2017
BEC/EAC,6,Wyoming,2017
Charity,0,Wyoming,2017
Civil Matter,0,Wyoming,2017
Confidence Fraud/Romance,18,Wyoming,2017
Corporate Data Breach,0,Wyoming,2017
Credit Card Fraud,9,Wyoming,2017
Crimes Against Children,2,Wyoming,2017
Criminal Forums,0,Wyoming,2017
Denial of Service/TDos,0,Wyoming,2017
Employment,8,Wyoming,2017
Extortion,7,Wyoming,2017
Gambling,0,Wyoming,2017
Government Impersonation,3,Wyoming,2017
Hacktivist,0,Wyoming,2017
Harassment/Threats of Violence,4,Wyoming,2017
Health Care Related,0,Wyoming,2017
IPR/Copyright and Counterfeit,0,Wyoming,2017
Identity Theft,6,Wyoming,2017
Investment,9,Wyoming,2017
Lottery/Sweepstakes/Inheritance,3,Wyoming,2017
Malware/Scareware/Virus,0,Wyoming,2017
Misrepresentation,1,Wyoming,2017
No Lead Value,5,Wyoming,2017
Non-payment/Non-Delivery,53,Wyoming,2017
Other,1,Wyoming,2017
Overpayment,6,Wyoming,2017
Personal Data Breach,8,Wyoming,2017
Phishing/Vishing/Smishing/Pharming,11,Wyoming,2017
Ransomware,0,Wyoming,2017
Re-shipping,0,Wyoming,2017
Real Estate/Rental,17,Wyoming,2017
Spoofing,0,Wyoming,2017
Tech Support,9,Wyoming,2017
Terrorism,0,Wyoming,2017
Social Media,18,Wyoming,2017
Virtual Currency,8,Wyoming,2017
Advanced Fee,46,Alabama,2018
BEC/EAC,37,Alabama,2018
Charity,2,Alabama,2018
Civil Matter,12,Alabama,2018
Confidence Fraud/Romance,101,Alabama,2018
Corporate Data Breach,4,Alabama,2018
Credit Card Fraud,65,Alabama,2018
Crimes Against Children,3,Alabama,2018
Criminal Forums,1,Alabama,2018
Denial of Service/TDos,40,Alabama,2018
Employment,80,Alabama,2018
Extortion,1,Alabama,2018
Gambling,22,Alabama,2018
Government Impersonation,1,Alabama,2018
Hacktivist,122,Alabama,2018
Harassment/Threats of Violence,0,Alabama,2018
Health Care Related,8,Alabama,2018
IPR/Copyright and Counterfeit,49,Alabama,2018
Identity Theft,20,Alabama,2018
Investment,11,Alabama,2018
Lottery/Sweepstakes/Inheritance,4,Alabama,2018
Malware/Scareware/Virus,31,Alabama,2018
Misrepresentation,32,Alabama,2018
No Lead Value,272,Alabama,2018
Non-payment/Non-Delivery,26,Alabama,2018
Other,54,Alabama,2018
Overpayment,149,Alabama,2018
Personal Data Breach,36,Alabama,2018
Phishing/Vishing/Smishing/Pharming,1,Alabama,2018
Ransomware,1,Alabama,2018
Re-shipping,31,Alabama,2018
Real Estate/Rental,33,Alabama,2018
Spoofing,28,Alabama,2018
Tech Support,0,Alabama,2018
Social Media,130,Alabama,2018
Virtual Currency,43,Alabama,2018
Advanced Fee,13,Alaska,2018
BEC/EAC,8,Alaska,2018
Charity,1,Alaska,2018
Civil Matter,1,Alaska,2018
Confidence Fraud/Romance,16,Alaska,2018
Corporate Data Breach,0,Alaska,2018
Credit Card Fraud,12,Alaska,2018
Crimes Against Children,1,Alaska,2018
Criminal Forums,0,Alaska,2018
Denial of Service/TDos,5,Alaska,2018
Employment,14,Alaska,2018
Extortion,0,Alaska,2018
Gambling,3,Alaska,2018
Government Impersonation,0,Alaska,2018
Hacktivist,38,Alaska,2018
Harassment/Threats of Violence,0,Alaska,2018
Health Care Related,3,Alaska,2018
IPR/Copyright and Counterfeit,8,Alaska,2018
Identity Theft,6,Alaska,2018
Investment,6,Alaska,2018
Lottery/Sweepstakes/Inheritance,1,Alaska,2018
Malware/Scareware/Virus,2,Alaska,2018
Misrepresentation,22,Alaska,2018
No Lead Value,75,Alaska,2018
Non-payment/Non-Delivery,7,Alaska,2018
Other,7,Alaska,2018
Overpayment,33,Alaska,2018
Personal Data Breach,20,Alaska,2018
Phishing/Vishing/Smishing/Pharming,3,Alaska,2018
Ransomware,0,Alaska,2018
Re-shipping,5,Alaska,2018
Real Estate/Rental,13,Alaska,2018
Spoofing,6,Alaska,2018
Tech Support,0,Alaska,2018
Social Media,32,Alaska,2018
Virtual Currency,9,Alaska,2018
Advanced Fee,1,American Samoa,2018
BEC/EAC,0,American Samoa,2018
Charity,0,American Samoa,2018
Civil Matter,0,American Samoa,2018
Confidence Fraud/Romance,0,American Samoa,2018
Corporate Data Breach,0,American Samoa,2018
Credit Card Fraud,0,American Samoa,2018
Crimes Against Children,0,American Samoa,2018
Criminal Forums,0,American Samoa,2018
Denial of Service/TDos,1,American Samoa,2018
Employment,1,American Samoa,2018
Extortion,0,American Samoa,2018
Gambling,0,American Samoa,2018
Government Impersonation,0,American Samoa,2018
Hacktivist,0,American Samoa,2018
Harassment/Threats of Violence,0,American Samoa,2018
Health Care Related,0,American Samoa,2018
IPR/Copyright and Counterfeit,0,American Samoa,2018
Identity Theft,0,American Samoa,2018
Investment,0,American Samoa,2018
Lottery/Sweepstakes/Inheritance,0,American Samoa,2018
Malware/Scareware/Virus,0,American Samoa,2018
Misrepresentation,0,American Samoa,2018
No Lead Value,0,American Samoa,2018
Non-payment/Non-Delivery,0,American Samoa,2018
Other,0,American Samoa,2018
Overpayment,1,American Samoa,2018
Personal Data Breach,0,American Samoa,2018
Phishing/Vishing/Smishing/Pharming,0,American Samoa,2018
Ransomware,0,American Samoa,2018
Re-shipping,0,American Samoa,2018
Real Estate/Rental,0,American Samoa,2018
Spoofing,0,American Samoa,2018
Tech Support,0,American Samoa,2018
Social Media,1,American Samoa,2018
Virtual Currency,0,American Samoa,2018
Advanced Fee,165,Arizona,2018
BEC/EAC,84,Arizona,2018
Charity,5,Arizona,2018
Civil Matter,22,Arizona,2018
Confidence Fraud/Romance,140,Arizona,2018
Corporate Data Breach,26,Arizona,2018
Credit Card Fraud,118,Arizona,2018
Crimes Against Children,13,Arizona,2018
Criminal Forums,10,Arizona,2018
Denial of Service/TDos,112,Arizona,2018
Employment,145,Arizona,2018
Extortion,3,Arizona,2018
Gambling,37,Arizona,2018
Government Impersonation,1,Arizona,2018
Hacktivist,225,Arizona,2018
Harassment/Threats of Violence,2,Arizona,2018
Health Care Related,22,Arizona,2018
IPR/Copyright and Counterfeit,121,Arizona,2018
Identity Theft,84,Arizona,2018
Investment,20,Arizona,2018
Lottery/Sweepstakes/Inheritance,6,Arizona,2018
Malware/Scareware/Virus,76,Arizona,2018
Misrepresentation,81,Arizona,2018
No Lead Value,493,Arizona,2018
Non-payment/Non-Delivery,64,Arizona,2018
Other,139,Arizona,2018
Overpayment,277,Arizona,2018
Personal Data Breach,111,Arizona,2018
Phishing/Vishing/Smishing/Pharming,1,Arizona,2018
Ransomware,4,Arizona,2018
Re-shipping,143,Arizona,2018
Real Estate/Rental,111,Arizona,2018
Spoofing,54,Arizona,2018
Tech Support,0,Arizona,2018
Social Media,204,Arizona,2018
Virtual Currency,86,Arizona,2018
Advanced Fee,28,Arkansas,2018
BEC/EAC,16,Arkansas,2018
Charity,1,Arkansas,2018
Civil Matter,2,Arkansas,2018
Confidence Fraud/Romance,42,Arkansas,2018
Corporate Data Breach,5,Arkansas,2018
Credit Card Fraud,26,Arkansas,2018
Crimes Against Children,1,Arkansas,2018
Criminal Forums,1,Arkansas,2018
Denial of Service/TDos,16,Arkansas,2018
Employment,35,Arkansas,2018
Extortion,0,Arkansas,2018
Gambling,13,Arkansas,2018
Government Impersonation,0,Arkansas,2018
Hacktivist,23,Arkansas,2018
Harassment/Threats of Violence,0,Arkansas,2018
Health Care Related,6,Arkansas,2018
IPR/Copyright and Counterfeit,24,Arkansas,2018
Identity Theft,5,Arkansas,2018
Investment,12,Arkansas,2018
Lottery/Sweepstakes/Inheritance,1,Arkansas,2018
Malware/Scareware/Virus,14,Arkansas,2018
Misrepresentation,18,Arkansas,2018
No Lead Value,189,Arkansas,2018
Non-payment/Non-Delivery,20,Arkansas,2018
Other,25,Arkansas,2018
Overpayment,60,Arkansas,2018
Personal Data Breach,13,Arkansas,2018
Phishing/Vishing/Smishing/Pharming,0,Arkansas,2018
Ransomware,3,Arkansas,2018
Re-shipping,13,Arkansas,2018
Real Estate/Rental,15,Arkansas,2018
Spoofing,14,Arkansas,2018
Tech Support,0,Arkansas,2018
Social Media,53,Arkansas,2018
Virtual Currency,16,Arkansas,2018
Advanced Fee,"1,134",California,2018
BEC/EAC,464,California,2018
Charity,28,California,2018
Civil Matter,84,California,2018
Confidence Fraud/Romance,"1,045",California,2018
Corporate Data Breach,98,California,2018
Credit Card Fraud,861,California,2018
Crimes Against Children,46,California,2018
Criminal Forums,35,California,2018
Denial of Service/TDos,"1,017",California,2018
Employment,875,California,2018
Extortion,11,California,2018
Gambling,252,California,2018
Government Impersonation,1,California,2018
Hacktivist,"1,182",California,2018
Harassment/Threats of Violence,31,California,2018
Health Care Related,167,California,2018
IPR/Copyright and Counterfeit,731,California,2018
Identity Theft,246,California,2018
Investment,256,California,2018
Lottery/Sweepstakes/Inheritance,88,California,2018
Malware/Scareware/Virus,461,California,2018
Misrepresentation,820,California,2018
No Lead Value,"3,924",California,2018
Non-payment/Non-Delivery,826,California,2018
Other,"1,028",California,2018
Overpayment,"2,068",California,2018
Personal Data Breach,800,California,2018
Phishing/Vishing/Smishing/Pharming,19,California,2018
Ransomware,77,California,2018
Re-shipping,894,California,2018
Real Estate/Rental,497,California,2018
Spoofing,752,California,2018
Tech Support,7,California,2018
Social Media,"1,513",California,2018
Virtual Currency,548,California,2018
Advanced Fee,113,Colorado,2018
BEC/EAC,59,Colorado,2018
Charity,4,Colorado,2018
Civil Matter,11,Colorado,2018
Confidence Fraud/Romance,183,Colorado,2018
Corporate Data Breach,15,Colorado,2018
Credit Card Fraud,65,Colorado,2018
Crimes Against Children,3,Colorado,2018
Criminal Forums,5,Colorado,2018
Denial of Service/TDos,99,Colorado,2018
Employment,108,Colorado,2018
Extortion,1,Colorado,2018
Gambling,42,Colorado,2018
Government Impersonation,0,Colorado,2018
Hacktivist,114,Colorado,2018
Harassment/Threats of Violence,0,Colorado,2018
Health Care Related,16,Colorado,2018
IPR/Copyright and Counterfeit,64,Colorado,2018
Identity Theft,18,Colorado,2018
Investment,28,Colorado,2018
Lottery/Sweepstakes/Inheritance,6,Colorado,2018
Malware/Scareware/Virus,37,Colorado,2018
Misrepresentation,57,Colorado,2018
No Lead Value,432,Colorado,2018
Non-payment/Non-Delivery,79,Colorado,2018
Other,104,Colorado,2018
Overpayment,178,Colorado,2018
Personal Data Breach,88,Colorado,2018
Phishing/Vishing/Smishing/Pharming,0,Colorado,2018
Ransomware,15,Colorado,2018
Re-shipping,190,Colorado,2018
Real Estate/Rental,53,Colorado,2018
Spoofing,34,Colorado,2018
Tech Support,0,Colorado,2018
Social Media,172,Colorado,2018
Virtual Currency,60,Colorado,2018
Advanced Fee,37,Connecticut,2018
BEC/EAC,35,Connecticut,2018
Charity,1,Connecticut,2018
Civil Matter,1,Connecticut,2018
Confidence Fraud/Romance,49,Connecticut,2018
Corporate Data Breach,8,Connecticut,2018
Credit Card Fraud,34,Connecticut,2018
Crimes Against Children,2,Connecticut,2018
Criminal Forums,1,Connecticut,2018
Denial of Service/TDos,47,Connecticut,2018
Employment,52,Connecticut,2018
Extortion,1,Connecticut,2018
Gambling,14,Connecticut,2018
Government Impersonation,0,Connecticut,2018
Hacktivist,54,Connecticut,2018
Harassment/Threats of Violence,0,Connecticut,2018
Health Care Related,6,Connecticut,2018
IPR/Copyright and Counterfeit,33,Connecticut,2018
Identity Theft,5,Connecticut,2018
Investment,11,Connecticut,2018
Lottery/Sweepstakes/Inheritance,3,Connecticut,2018
Malware/Scareware/Virus,29,Connecticut,2018
Misrepresentation,40,Connecticut,2018
No Lead Value,158,Connecticut,2018
Non-payment/Non-Delivery,14,Connecticut,2018
Other,42,Connecticut,2018
Overpayment,66,Connecticut,2018
Personal Data Breach,33,Connecticut,2018
Phishing/Vishing/Smishing/Pharming,0,Connecticut,2018
Ransomware,5,Connecticut,2018
Re-shipping,21,Connecticut,2018
Real Estate/Rental,25,Connecticut,2018
Spoofing,24,Connecticut,2018
Tech Support,2,Connecticut,2018
Social Media,69,Connecticut,2018
Virtual Currency,25,Connecticut,2018
Advanced Fee,26,Delaware,2018
BEC/EAC,10,Delaware,2018
Charity,0,Delaware,2018
Civil Matter,4,Delaware,2018
Confidence Fraud/Romance,14,Delaware,2018
Corporate Data Breach,1,Delaware,2018
Credit Card Fraud,85,Delaware,2018
Crimes Against Children,1,Delaware,2018
Criminal Forums,0,Delaware,2018
Denial of Service/TDos,70,Delaware,2018
Employment,15,Delaware,2018
Extortion,0,Delaware,2018
Gambling,10,Delaware,2018
Government Impersonation,0,Delaware,2018
Hacktivist,22,Delaware,2018
Harassment/Threats of Violence,1,Delaware,2018
Health Care Related,1,Delaware,2018
IPR/Copyright and Counterfeit,28,Delaware,2018
Identity Theft,17,Delaware,2018
Investment,6,Delaware,2018
Lottery/Sweepstakes/Inheritance,2,Delaware,2018
Malware/Scareware/Virus,47,Delaware,2018
Misrepresentation,10,Delaware,2018
No Lead Value,422,Delaware,2018
Non-payment/Non-Delivery,18,Delaware,2018
Other,18,Delaware,2018
Overpayment,101,Delaware,2018
Personal Data Breach,38,Delaware,2018
Phishing/Vishing/Smishing/Pharming,1,Delaware,2018
Ransomware,48,Delaware,2018
Re-shipping,14,Delaware,2018
Real Estate/Rental,37,Delaware,2018
Spoofing,25,Delaware,2018
Tech Support,0,Delaware,2018
Social Media,30,Delaware,2018
Virtual Currency,20,Delaware,2018
Advanced Fee,187,District of Columbia,2018
BEC/EAC,15,District of Columbia,2018
Charity,4,District of Columbia,2018
Civil Matter,2,District of Columbia,2018
Confidence Fraud/Romance,29,District of Columbia,2018
Corporate Data Breach,1,District of Columbia,2018
Credit Card Fraud,22,District of Columbia,2018
Crimes Against Children,1,District of Columbia,2018
Criminal Forums,1,District of Columbia,2018
Denial of Service/TDos,29,District of Columbia,2018
Employment,125,District of Columbia,2018
Extortion,0,District of Columbia,2018
Gambling,280,District of Columbia,2018
Government Impersonation,1,District of Columbia,2018
Hacktivist,42,District of Columbia,2018
Harassment/Threats of Violence,0,District of Columbia,2018
Health Care Related,8,District of Columbia,2018
IPR/Copyright and Counterfeit,10,District of Columbia,2018
Identity Theft,6,District of Columbia,2018
Investment,111,District of Columbia,2018
Lottery/Sweepstakes/Inheritance,2,District of Columbia,2018
Malware/Scareware/Virus,5,District of Columbia,2018
Misrepresentation,74,District of Columbia,2018
No Lead Value,79,District of Columbia,2018
Non-payment/Non-Delivery,25,District of Columbia,2018
Other,16,District of Columbia,2018
Overpayment,46,District of Columbia,2018
Personal Data Breach,127,District of Columbia,2018
Phishing/Vishing/Smishing/Pharming,2,District of Columbia,2018
Ransomware,14,District of Columbia,2018
Re-shipping,50,District of Columbia,2018
Real Estate/Rental,17,District of Columbia,2018
Spoofing,7,District of Columbia,2018
Tech Support,2,District of Columbia,2018
Social Media,64,District of Columbia,2018
Virtual Currency,17,District of Columbia,2018
Advanced Fee,499,Florida,2018
BEC/EAC,363,Florida,2018
Charity,26,Florida,2018
Civil Matter,36,Florida,2018
Confidence Fraud/Romance,719,Florida,2018
Corporate Data Breach,49,Florida,2018
Credit Card Fraud,871,Florida,2018
Crimes Against Children,23,Florida,2018
Criminal Forums,19,Florida,2018
Denial of Service/TDos,475,Florida,2018
Employment,407,Florida,2018
Extortion,3,Florida,2018
Gambling,140,Florida,2018
Government Impersonation,1,Florida,2018
Hacktivist,613,Florida,2018
Harassment/Threats of Violence,23,Florida,2018
Health Care Related,75,Florida,2018
IPR/Copyright and Counterfeit,460,Florida,2018
Identity Theft,182,Florida,2018
Investment,141,Florida,2018
Lottery/Sweepstakes/Inheritance,49,Florida,2018
Malware/Scareware/Virus,416,Florida,2018
Misrepresentation,188,Florida,2018
No Lead Value,"2,886",Florida,2018
Non-payment/Non-Delivery,162,Florida,2018
Other,476,Florida,2018
Overpayment,"1,277",Florida,2018
Personal Data Breach,373,Florida,2018
Phishing/Vishing/Smishing/Pharming,15,Florida,2018
Ransomware,49,Florida,2018
Re-shipping,456,Florida,2018
Real Estate/Rental,412,Florida,2018
Spoofing,274,Florida,2018
Tech Support,2,Florida,2018
Social Media,925,Florida,2018
Virtual Currency,236,Florida,2018
Advanced Fee,267,Georgia,2018
BEC/EAC,177,Georgia,2018
Charity,6,Georgia,2018
Civil Matter,20,Georgia,2018
Confidence Fraud/Romance,275,Georgia,2018
Corporate Data Breach,20,Georgia,2018
Credit Card Fraud,158,Georgia,2018
Crimes Against Children,6,Georgia,2018
Criminal Forums,6,Georgia,2018
Denial of Service/TDos,311,Georgia,2018
Employment,142,Georgia,2018
Extortion,5,Georgia,2018
Gambling,42,Georgia,2018
Government Impersonation,0,Georgia,2018
Hacktivist,221,Georgia,2018
Harassment/Threats of Violence,5,Georgia,2018
Health Care Related,14,Georgia,2018
IPR/Copyright and Counterfeit,185,Georgia,2018
Identity Theft,34,Georgia,2018
Investment,78,Georgia,2018
Lottery/Sweepstakes/Inheritance,17,Georgia,2018
Malware/Scareware/Virus,76,Georgia,2018
Misrepresentation,83,Georgia,2018
No Lead Value,805,Georgia,2018
Non-payment/Non-Delivery,66,Georgia,2018
Other,379,Georgia,2018
Overpayment,315,Georgia,2018
Personal Data Breach,213,Georgia,2018
Phishing/Vishing/Smishing/Pharming,0,Georgia,2018
Ransomware,23,Georgia,2018
Re-shipping,173,Georgia,2018
Real Estate/Rental,93,Georgia,2018
Spoofing,53,Georgia,2018
Tech Support,0,Georgia,2018
Social Media,314,Georgia,2018
Virtual Currency,54,Georgia,2018
Advanced Fee,0,Guam,2018
BEC/EAC,0,Guam,2018
Charity,0,Guam,2018
Civil Matter,0,Guam,2018
Confidence Fraud/Romance,0,Guam,2018
Corporate Data Breach,0,Guam,2018
Credit Card Fraud,1,Guam,2018
Crimes Against Children,0,Guam,2018
Criminal Forums,0,Guam,2018
Denial of Service/TDos,0,Guam,2018
Employment,0,Guam,2018
Extortion,0,Guam,2018
Gambling,0,Guam,2018
Government Impersonation,0,Guam,2018
Hacktivist,0,Guam,2018
Harassment/Threats of Violence,0,Guam,2018
Health Care Related,0,Guam,2018
IPR/Copyright and Counterfeit,1,Guam,2018
Identity Theft,0,Guam,2018
Investment,0,Guam,2018
Lottery/Sweepstakes/Inheritance,0,Guam,2018
Malware/Scareware/Virus,0,Guam,2018
Misrepresentation,0,Guam,2018
No Lead Value,1,Guam,2018
Non-payment/Non-Delivery,0,Guam,2018
Other,1,Guam,2018
Overpayment,0,Guam,2018
Personal Data Breach,0,Guam,2018
Phishing/Vishing/Smishing/Pharming,0,Guam,2018
Ransomware,0,Guam,2018
Re-shipping,0,Guam,2018
Real Estate/Rental,0,Guam,2018
Spoofing,0,Guam,2018
Tech Support,0,Guam,2018
Social Media,1,Guam,2018
Virtual Currency,0,Guam,2018
Advanced Fee,19,Hawaii,2018
BEC/EAC,12,Hawaii,2018
Charity,0,Hawaii,2018
Civil Matter,0,Hawaii,2018
Confidence Fraud/Romance,24,Hawaii,2018
Corporate Data Breach,1,Hawaii,2018
Credit Card Fraud,11,Hawaii,2018
Crimes Against Children,0,Hawaii,2018
Criminal Forums,0,Hawaii,2018
Denial of Service/TDos,10,Hawaii,2018
Employment,26,Hawaii,2018
Extortion,0,Hawaii,2018
Gambling,4,Hawaii,2018
Government Impersonation,1,Hawaii,2018
Hacktivist,45,Hawaii,2018
Harassment/Threats of Violence,0,Hawaii,2018
Health Care Related,6,Hawaii,2018
IPR/Copyright and Counterfeit,8,Hawaii,2018
Identity Theft,9,Hawaii,2018
Investment,4,Hawaii,2018
Lottery/Sweepstakes/Inheritance,0,Hawaii,2018
Malware/Scareware/Virus,14,Hawaii,2018
Misrepresentation,16,Hawaii,2018
No Lead Value,69,Hawaii,2018
Non-payment/Non-Delivery,7,Hawaii,2018
Other,19,Hawaii,2018
Overpayment,24,Hawaii,2018
Personal Data Breach,11,Hawaii,2018
Phishing/Vishing/Smishing/Pharming,0,Hawaii,2018
Ransomware,0,Hawaii,2018
Re-shipping,45,Hawaii,2018
Real Estate/Rental,8,Hawaii,2018
Spoofing,8,Hawaii,2018
Tech Support,0,Hawaii,2018
Social Media,34,Hawaii,2018
Virtual Currency,12,Hawaii,2018
Advanced Fee,17,Idaho,2018
BEC/EAC,18,Idaho,2018
Charity,0,Idaho,2018
Civil Matter,2,Idaho,2018
Confidence Fraud/Romance,22,Idaho,2018
Corporate Data Breach,3,Idaho,2018
Credit Card Fraud,15,Idaho,2018
Crimes Against Children,3,Idaho,2018
Criminal Forums,1,Idaho,2018
Denial of Service/TDos,19,Idaho,2018
Employment,23,Idaho,2018
Extortion,0,Idaho,2018
Gambling,11,Idaho,2018
Government Impersonation,0,Idaho,2018
Hacktivist,27,Idaho,2018
Harassment/Threats of Violence,4,Idaho,2018
Health Care Related,2,Idaho,2018
IPR/Copyright and Counterfeit,20,Idaho,2018
Identity Theft,2,Idaho,2018
Investment,13,Idaho,2018
Lottery/Sweepstakes/Inheritance,3,Idaho,2018
Malware/Scareware/Virus,9,Idaho,2018
Misrepresentation,7,Idaho,2018
No Lead Value,125,Idaho,2018
Non-payment/Non-Delivery,4,Idaho,2018
Other,31,Idaho,2018
Overpayment,25,Idaho,2018
Personal Data Breach,16,Idaho,2018
Phishing/Vishing/Smishing/Pharming,1,Idaho,2018
Ransomware,1,Idaho,2018
Re-shipping,16,Idaho,2018
Real Estate/Rental,11,Idaho,2018
Spoofing,12,Idaho,2018
Tech Support,0,Idaho,2018
Social Media,33,Idaho,2018
Virtual Currency,11,Idaho,2018
Advanced Fee,258,Illinois,2018
BEC/EAC,157,Illinois,2018
Charity,3,Illinois,2018
Civil Matter,28,Illinois,2018
Confidence Fraud/Romance,228,Illinois,2018
Corporate Data Breach,27,Illinois,2018
Credit Card Fraud,174,Illinois,2018
Crimes Against Children,10,Illinois,2018
Criminal Forums,14,Illinois,2018
Denial of Service/TDos,226,Illinois,2018
Employment,163,Illinois,2018
Extortion,3,Illinois,2018
Gambling,50,Illinois,2018
Government Impersonation,3,Illinois,2018
Hacktivist,333,Illinois,2018
Harassment/Threats of Violence,4,Illinois,2018
Health Care Related,26,Illinois,2018
IPR/Copyright and Counterfeit,152,Illinois,2018
Identity Theft,48,Illinois,2018
Investment,27,Illinois,2018
Lottery/Sweepstakes/Inheritance,10,Illinois,2018
Malware/Scareware/Virus,93,Illinois,2018
Misrepresentation,294,Illinois,2018
No Lead Value,962,Illinois,2018
Non-payment/Non-Delivery,96,Illinois,2018
Other,280,Illinois,2018
Overpayment,344,Illinois,2018
Personal Data Breach,224,Illinois,2018
Phishing/Vishing/Smishing/Pharming,6,Illinois,2018
Ransomware,9,Illinois,2018
Re-shipping,156,Illinois,2018
Real Estate/Rental,427,Illinois,2018
Spoofing,80,Illinois,2018
Tech Support,0,Illinois,2018
Social Media,299,Illinois,2018
Virtual Currency,78,Illinois,2018
Advanced Fee,73,Indiana,2018
BEC/EAC,40,Indiana,2018
Charity,1,Indiana,2018
Civil Matter,3,Indiana,2018
Confidence Fraud/Romance,107,Indiana,2018
Corporate Data Breach,11,Indiana,2018
Credit Card Fraud,73,Indiana,2018
Crimes Against Children,6,Indiana,2018
Criminal Forums,2,Indiana,2018
Denial of Service/TDos,50,Indiana,2018
Employment,72,Indiana,2018
Extortion,0,Indiana,2018
Gambling,11,Indiana,2018
Government Impersonation,0,Indiana,2018
Hacktivist,90,Indiana,2018
Harassment/Threats of Violence,4,Indiana,2018
Health Care Related,12,Indiana,2018
IPR/Copyright and Counterfeit,64,Indiana,2018
Identity Theft,5,Indiana,2018
Investment,22,Indiana,2018
Lottery/Sweepstakes/Inheritance,9,Indiana,2018
Malware/Scareware/Virus,24,Indiana,2018
Misrepresentation,60,Indiana,2018
No Lead Value,301,Indiana,2018
Non-payment/Non-Delivery,24,Indiana,2018
Other,128,Indiana,2018
Overpayment,179,Indiana,2018
Personal Data Breach,50,Indiana,2018
Phishing/Vishing/Smishing/Pharming,2,Indiana,2018
Ransomware,4,Indiana,2018
Re-shipping,66,Indiana,2018
Real Estate/Rental,43,Indiana,2018
Spoofing,26,Indiana,2018
Tech Support,0,Indiana,2018
Social Media,151,Indiana,2018
Virtual Currency,45,Indiana,2018
Advanced Fee,37,Iowa,2018
BEC/EAC,16,Iowa,2018
Charity,1,Iowa,2018
Civil Matter,6,Iowa,2018
Confidence Fraud/Romance,23,Iowa,2018
Corporate Data Breach,1,Iowa,2018
Credit Card Fraud,11,Iowa,2018
Crimes Against Children,1,Iowa,2018
Criminal Forums,1,Iowa,2018
Denial of Service/TDos,10,Iowa,2018
Employment,27,Iowa,2018
Extortion,0,Iowa,2018
Gambling,14,Iowa,2018
Government Impersonation,0,Iowa,2018
Hacktivist,27,Iowa,2018
Harassment/Threats of Violence,0,Iowa,2018
Health Care Related,1,Iowa,2018
IPR/Copyright and Counterfeit,20,Iowa,2018
Identity Theft,2,Iowa,2018
Investment,7,Iowa,2018
Lottery/Sweepstakes/Inheritance,0,Iowa,2018
Malware/Scareware/Virus,9,Iowa,2018
Misrepresentation,19,Iowa,2018
No Lead Value,320,Iowa,2018
Non-payment/Non-Delivery,14,Iowa,2018
Other,25,Iowa,2018
Overpayment,40,Iowa,2018
Personal Data Breach,24,Iowa,2018
Phishing/Vishing/Smishing/Pharming,0,Iowa,2018
Ransomware,0,Iowa,2018
Re-shipping,25,Iowa,2018
Real Estate/Rental,37,Iowa,2018
Spoofing,22,Iowa,2018
Tech Support,0,Iowa,2018
Social Media,50,Iowa,2018
Virtual Currency,7,Iowa,2018
Advanced Fee,55,Kansas,2018
BEC/EAC,14,Kansas,2018
Charity,2,Kansas,2018
Civil Matter,4,Kansas,2018
Confidence Fraud/Romance,41,Kansas,2018
Corporate Data Breach,4,Kansas,2018
Credit Card Fraud,24,Kansas,2018
Crimes Against Children,4,Kansas,2018
Criminal Forums,0,Kansas,2018
Denial of Service/TDos,29,Kansas,2018
Employment,52,Kansas,2018
Extortion,0,Kansas,2018
Gambling,10,Kansas,2018
Government Impersonation,0,Kansas,2018
Hacktivist,45,Kansas,2018
Harassment/Threats of Violence,0,Kansas,2018
Health Care Related,2,Kansas,2018
IPR/Copyright and Counterfeit,24,Kansas,2018
Identity Theft,2,Kansas,2018
Investment,10,Kansas,2018
Lottery/Sweepstakes/Inheritance,1,Kansas,2018
Malware/Scareware/Virus,12,Kansas,2018
Misrepresentation,10,Kansas,2018
No Lead Value,492,Kansas,2018
Non-payment/Non-Delivery,14,Kansas,2018
Other,22,Kansas,2018
Overpayment,97,Kansas,2018
Personal Data Breach,36,Kansas,2018
Phishing/Vishing/Smishing/Pharming,0,Kansas,2018
Ransomware,9,Kansas,2018
Re-shipping,11,Kansas,2018
Real Estate/Rental,92,Kansas,2018
Spoofing,17,Kansas,2018
